ID,Identyfikator API,Nazwa,Województwo,Powiat,Gmina,Miejscowość,Ulica,Numer Budynku,Numer Lokalu,Email,Telefon,Liczba dzieci,Liczba miejsc,Adres WWW
686,11905/Z,"Żłobek ""Iskierki""",LUBELSKIE,Lublin,Lublin,Lublin,ul. Kasztelańska,31,5,iskierki.lublin@wp.pl,888061180,19,22,iskierki.lublin.pl
687,11063/Z,Niepubliczny Żłobek Radosne Maluchy,ŁÓDZKIE,sieradzki,Sieradz,Sieradz,ul. Krakowskie Przedmieście,123A,,biuro@radosnemaluchy.com.pl,504870969,20,20,WWW.RADOSNEMALUCHY.COM.PL
688,12218/Z,GMINNY ŻŁOBEK IM. JANUSZA KORCZAKA W MIEJSCU PIASTOWYM,PODKARPACKIE,krośnieński,Miejsce Piastowe,Miejsce Piastowe,ul. Szkolna,24,,zlobek@miejscepiastowe.pl,690450316,32,32,www.zlobek-miejscepiastowe.pl
689,12263/Z,Żłobek Miejski w Łęczycy,ŁÓDZKIE,łęczycki,Łęczyca,Łęczyca,ul. Belwederska,23,,kontakt@zlobekleczyca.pl,537208393,43,43,www.p2leczyca.edu.pl
690,12270/Z,"NIEPUBLICZNE JĘZYKOWE PRZEDSZKOLE ""BAJKA"" - ŻŁOBEK",MAZOWIECKIE,grójecki,Grójec,Grójec,ul. Relaksowa,8,,KONTAKT@BAJKA-GROJEC.PL,697711353,11,11,WWW.BAJKA-GROJEC.PL
691,12271/Z,"Żłobek Niepubliczny ""Kolikoli"" Irena Dobrowolska",ŚLĄSKIE,Bytom,Bytom,Bytom,ul. Stefana Żeromskiego,29,,irenazet@interia.pl,504337798,18,18,www.kolikoli.com.pl
692,12347/Z,Żłobek Miejski Oddział Maluch ,ZACHODNIOPOMORSKIE,Koszalin,Koszalin,Koszalin,ul. Mieczysława Jagoszewskiego,6,,maluch@zlobekmiejski.pl,943425755,90,94,www.zlobekmiejski.pl
693,12369/Z,Żłobek Miejski Oddział Smyk,ZACHODNIOPOMORSKIE,Koszalin,Koszalin,Koszalin,ul. Ignacego Chrzanowskiego,10,,smyk@zlobekmiejski.pl,943413749,40,41,www.zlobekmiejski.pl
694,12356/Z,Niepubliczny Żłobek Junior,ZACHODNIOPOMORSKIE,stargardzki,Stargard,Stargard,ul. Pogodna,10-12,,junior.stargard@gmail.com,663424117,16,16,
695,12355/Z,"Niepubliczny Żłobek ""Hajduczek"" w Chorzowie",ŚLĄSKIE,Chorzów,Chorzów,Chorzów,ul. Gabriela Narutowicza,5,,centrum.hajduczek@gmail.com,537431053,28,60,www.centrumhajduczek.pl
696,12378/Z,Żłobek SERDUSZKOlandia Luiza Sałaj,DOLNOŚLĄSKIE,lubiński,Lubin,Lubin,ul. Stefana Kisielewskiego,25-26,,kontakt@serduszkolandia.pl,794666880,60,60,www.serduszkolandia.pl
697,12380/Z,Chatka Puchatka,DOLNOŚLĄSKIE,zgorzelecki,Zgorzelec,Zgorzelec,ul. Francuska,41,,aga35@op.pl,512313599,60,60,www.chatkapuchatka.zgorzelec.pl
698,12382/Z,Klub Dziecięcy Wyspa Skarbów,DOLNOŚLĄSKIE,zgorzelecki,Zgorzelec,Zgorzelec,ul. Juliusza Słowackiego,9c,,wyspa.skarbow.chafieha@gmail.com,509280480,9,11,
699,8981/Z,Leśny Skrzat,DOLNOŚLĄSKIE,oleśnicki,Oleśnica,Oleśnica,ul. Wojska Polskiego,56h,,biuro@lesny-skrzat.pl,717183833,25,28,www.lesny-skrzat.pl
700,9199/Z,Bajkolandia-Centrum Rozrywki dla Dzieci Sylwia Milcuszek,ŚLĄSKIE,wodzisławski,Gorzyce,Czyżowice,ul. Strażacka,8,,Bajkolandia.czyzowice@gmail.com,723167202,27,30,
701,7194/Z,Akademia Malucha Aneta Szoka Żłobek,PODLASKIE,sokólski,Sokółka,Sokółka,ul. Marii Skłodowskiej-Curie,5 a,,akademiamaluchasokolka@gmail.com,661443015,28,28,akademiamalucha.sokolka.com
702,4332/Z,Żłobek nr 23,MAZOWIECKIE,Warszawa,Warszawa - Śródmieście,Warszawa - Śródmieście,ul. Grzybowska,7,,zlobek23@zlobki.waw.pl,723248060,89,95,www.zlobki.waw.pl
703,12295/Z,"KLUB MALUCHA ""WESOŁE SKRZATY"" Beata Muzyka",DOLNOŚLĄSKIE,lubiński,Lubin,Lubin,ul. Jana Pawła II,20,,beti-25-25-1985@o2.pl,665073635,12,12,
704,12323/Z,Żłobek Niepubliczny CHATKA PUCHATKA,LUBUSKIE,żagański,Żagań,Żagań,ul. Skarbowa,9,,condchatkapuchatkazagan@wp.pl,536929551,19,37,
705,12399/Z,"KLUB DZIECIĘCY ""MALI ODKRYWCY"" ALEKSANDRA KUBIAK",WIELKOPOLSKIE,czarnkowsko-trzcianecki,Drawsko,Drawski Młyn,ul. Osiedle Robotnicze,20A,2,OLADYMEK10@wp.pl,516343245,7,11,www.dzieciecyklub.pl
706,12400/Z,Żłobek Miejski,DOLNOŚLĄSKIE,zgorzelecki,Zgorzelec,Zgorzelec,ul. Stanisława Wyspiańskiego,9a,,zlobek@zgorzelec.eu,757756480,44,50,
707,12404/Z,Żłobek TWP Poziomka,WARMIŃSKO-MAZURSKIE,Olsztyn,Olsztyn,Olsztyn,ul. Walentego Barczewskiego,11,,twp@twp.olsztyn.pl,895279333,33,67,twp.olsztyn.pl
708,12402/Z,Żłobek Niepubliczny Nr 1 S.C. O/Zabrze,ŚLĄSKIE,Zabrze,Zabrze,Zabrze,ul. Wolności,121 C,,zlobekzabrze@wp.pl,577882286,40,40,
709,10313/Z,"Niepubliczny Żłobek ""Gryfne Bajtle"" ",ŚLĄSKIE,Siemianowice Śląskie,Siemianowice Śląskie,Siemianowice Śląskie,ul. 1 Maja,12,,gryfnebajtle.slaskie@gmail.com,791856308,80,80,gryfne-bajtle.pl
710,12324/Z,"Żłobek ""Brykające Brzdące"" Dominika Maćkowiak",WIELKOPOLSKIE,Leszno,Leszno,Leszno,ul. Henryka Sienkiewicza,8,,d.mackowiak@brykajacebrzdace.com,669280128,60,60,
711,12325/Z,Prywatny Żłobek EUREGIO,LUBUSKIE,słubicki,Słubice,Słubice,ul. Różana,3,,zlobek.euregio@gmail.com,506347495,38,40,https://www.facebook.com/zlobek.EUREGIO
712,12326/Z,"Niepubliczny Żłobek Nr 5 ""Kajtuś Czarodziej""",MAZOWIECKIE,wołomiński,Marki,Marki,ul. Sportowa,8A,,kajtus-czarodziej@wp.pl,668663425,30,15,
713,12327/Z,AKADEMIA MALUCHA Żłobek,WIELKOPOLSKIE,wrzesiński,Nekla,Nekla,ul. Dworcowa,33,,biuro@akademiatalentow.net,888151615,30,30,www.akademia-malucha.net
714,12374/Z,Niepubliczny Żłobek CALINECZKA,POMORSKIE,nowodworski,Nowy Dwór Gdański,Nowy Dwór Gdański,ul. gen. Tadeusza Kościuszki,25,,dyrektor@edukacjajutra.eu,535555090,56,100,www.edukacjajutra.eu
715,12375/Z,"Żłobek Przy Przedszkolu Niepublicznym ""Motylek""",ZACHODNIOPOMORSKIE,Świnoujście,Świnoujście,Świnoujście,ul. Juliusza Słowackiego,27,2,kontakt@przedszkolemotylek.pl,798898902,24,24,www.przedszkolemotylek.pl
716,12376/Z,"Żłobek ""U Babci"" Marzenna Molińska",DOLNOŚLĄSKIE,wołowski,Wołów,Wołów,ul. Marszałka Józefa Piłsudskiego,1-3,,zlobekubabci@gmail.com,881732511,50,32,
717,11991/Z,ŻŁOBEK KOSI KOSI ŁAPCI ANNA WOLAK,ŚLĄSKIE,Katowice,Katowice,Katowice,ul. gen. Józefa Sowińskiego,35,151,kosikosilapci@interia.pl,731444723,31,32,www.kosikosilapci.com
718,9104/Z,Niepubliczny Klub Dziecięcy BIM BOM,ŚLĄSKIE,Rybnik,Rybnik,Rybnik,ul. Kuźnicka,10,,bimbomryb@gmail.com,324228937,6,8,www.bimbom.com.pl
719,12269/Z,"Żłobek "" u Lolka""",ŁÓDZKIE,pabianicki,Pabianice,Pabianice,ul. Jana Pawła II,46,,przedszkoleulolka@wp.pl,422113066,34,30,
720,12300/Z,ANETA NURKOWSKA READY-STEADY-GO,ŁÓDZKIE,Piotrków Trybunalski,Piotrków Trybunalski,Piotrków Trybunalski,ul. Szeroka,17,,anetanurkowska@gmail.com,510232291,8,10,
721,12320/Z,Klub Dziecięcy w Wąsoszu,DOLNOŚLĄSKIE,górowski,Wąsosz,Wąsosz,ul. Korczaka,11,,klubdzieciecy@wasosz.gmina.pl,511135566,20,24,https://klubdzieciecy.wasosz.smarthost.pl/
722,12321/Z,"Artystyczne Niepubliczne Przedszkole z Oddziałem Integracyjnym ""Tygrysek Plus""",ŁÓDZKIE,opoczyński,Opoczno,Opoczno,ul. Partyzantów,65,,przedszkole-tygrysekplus@wp.pl,790815428,27,63,tygrysek-opoczno.pl
723,12403/Z,ZAKĄTEK MALUCHA ANNA STANKIEWICZ,DOLNOŚLĄSKIE,średzki,Miękinia,Lutynia,ul. Kościelna,2,,ZAKATEK.MALUCHA.LUTYNIA@GMAIL.COM,691998707,14,25,ZAKATEKMALUCHA.PL
724,12387/Z,"""Lawendowy Domek""",DOLNOŚLĄSKIE,oławski,Oława,Marcinkowice,ul. Krucza,1,,kontakt@lawendowydomek.edu.pl,725002372,26,26,
725,12388/Z,Żłobek Gminny w Żninie,KUJAWSKO-POMORSKIE,żniński,Żnin,Żnin,ul. Jasna,5,,zlobek@gminaznin.pl,523575500,28,28,www.zlobek.gminaznin.pl
726,12417/Z,Niepubliczny Żłobek im. Jana Pawła II,ŚLĄSKIE,pszczyński,Suszec,Suszec,ul. Pawła Godźka,12A,,barbarablazyca@gmail.com,666074948,15,21,
727,12432/Z,Żłobek Miejski w Jaworznie,ŚLĄSKIE,Jaworzno,Jaworzno,Jaworzno,ul. 3 Maja,16,,sekretariat@zlobekmiejski.jaworzno.edu.pl,327511881,32,32,www.zlobekmiejski.jaworzno.edu.pl
728,12433/Z,"Niepubliczny Żłobek ""Akademia Kwadrat""",ŚWIĘTOKRZYSKIE,starachowicki,Starachowice,Starachowice,ul. Długa,11,,kontakt@przedszkolak.starachowice.pl,668432370,27,53,www.akademiakwadrat.pl
729,12421/Z,Smerfowa Kraina Natalia Wolińska,WIELKOPOLSKIE,turecki,Tuliszków,Tuliszków,ul. Kasztelana Zaremby,16,,pedagogika99@o2.pl,663751131,20,25,
730,2187/Z,"Klub Malucha ""Biały Domek""",KUJAWSKO-POMORSKIE,Bydgoszcz,Bydgoszcz,Bydgoszcz,ul. Przejazd,15,,zimgraz@yahoo.com,604862421,15,15,
731,12418/Z,LA LO LI Żłobek Niepubliczny,WIELKOPOLSKIE,poznański,Tarnowo Podgórne,Wysogotowo,ul. Urocza,11,,stasik1@op.pl,500166116,11,30,www.laloli.pl
732,12456/Z,"Niepubliczny żłobek ""Tuptuś"" Ryszard Kasprzak",WIELKOPOLSKIE,turecki,Władysławów,Russocice,,9,,rskasprzak@wp.pl,506186836,21,24,wladyslawow.zlobektuptus.pl
733,15752/Z,"Żłobek Samorządowy ""Bajkolandia"" w Wesołówce",LUBELSKIE,łęczyński,Puchaczów,Wesołówka,,45,,bajkolandia@puchaczow.lubelskie.pl,883012020,20,20,
734,12467/Z,"Żłobek Miejski ""Wesoła łąka""",ŁÓDZKIE,kutnowski,Kutno,Kutno,ul. dr. Antoniego Troczewskiego,2,,zlobekkutno@wikom.pl,243371030,100,100,www.zlobekkutno.wikom.pl
735,12431/Z,Klub Dziecięcy Tuli Tutuś,LUBELSKIE,lubelski,Niemce,Dys,ul. Polna,12,,tulitutus@wp.pl,693350514,15,15,www.tulitutus.pl
736,12434/Z,Akademia Malucha,ŚLĄSKIE,zawierciański,Zawiercie,Zawiercie,ul. Miejska,24,,biuro@akademiamaulucha.net.pl,530152040,13,19,akademiamalucha.net.pl
737,12462/Z,"Żłobek Niepubliczny ""Wesołe Boberki""",LUBUSKIE,żagański,Żagań,Żagań,ul. Jana Pawła II,19,,wesoleboberki@gmail.com,693123868,46,54,http://www.wesoleboberki.pl
738,12436/Z,"Niepubliczny Żłobek ""Mali Giganci""",ŁÓDZKIE,bełchatowski,Bełchatów,Bełchatów,ul. Rynek Grocholski,21,,kontakt@zlobekbelchatow.pl,502313011,44,44,www.zlobekbelchatow.pl
739,12464/Z,Gminny Żłobek w Lipiu,ŚLĄSKIE,kłobucki,Lipie,Lipie,ul. Częstochowska,31,,zlobeklipie@gmail.com,798570228,19,20,
740,12465/Z,Niepubliczny Klub Dziecięcy Miś i Lala ,WIELKOPOLSKIE,kaliski,Żelazków,Szosa Turecka,,36B,,misilala@onet.pl,509777565,24,30,
741,12470/Z,"Klub Dziecięcy ""Lucky Surmaki""",ZACHODNIOPOMORSKIE,Szczecin,Szczecin,Szczecin,ul. Stefana Okrzei,57,,luckysurmaki@gmail.com,506131413,13,13,www.luckysurmaki.pl
742,12471/Z,Klub Malucha Re-Re-Kum-Kum,LUBELSKIE,puławski,Puławy,Puławy,ul. Wacława Sieroszewskiego,23,C,re-re-kum-kum@wp.pl,531341441,0,20,www.re-re-kum-kum.pl
743,12472/Z,Niepubliczny Żłobek Mały Odkrywca,LUBELSKIE,łukowski,Łuków,Łuków,ul. Jana Pawła II,37,,malyodkrywca.przedszkole@gmail.com,535846441,13,15,www.przedszkole-maly-odkrywca.pl/
744,12445/Z,Żłobek Sielankowo,ŁÓDZKIE,zgierski,Aleksandrów Łódzki,Aleksandrów Łódzki,ul. Sportowa,29/31,,zlobek@sielankowo.com.pl,660954800,60,60,www.sielankowo.com.pl
745,12473/Z,MINI AKADEMIA TARCHOMIN ŻŁOBEK NIEPUBLICZNY,MAZOWIECKIE,Warszawa,Warszawa - Białołęka,Warszawa - Białołęka,ul. Zbytki,4,,BIURO@AKADEMIAMALUCHOW.PL,224243366,0,17,WWW.AKADEMIAMALUCHOW.PL
746,6534/Z,"Żłobek ""Stokrotka""",POMORSKIE,kwidzyński,Kwidzyn,Kwidzyn,ul. Mieszka I,8a,,olmos@tlen.pl,791719400,15,24,
747,10578/Z,Niepubliczny Żłobek Bajkolandia,ZACHODNIOPOMORSKIE,policki,Police,Police,ul. Przyjaźni,8,,bajkolandia2017@wp.pl,537952053,27,28,
748,10582/Z,"Żłobek ""Gumisiowa Kraina"" ",MAZOWIECKIE,radomski,Jedlińsk,Jedlińsk,ul. Lipowa,21,,tk49@onet.pl,504220625,15,120,www.gumisiowakraina.pl
749,9503/Z,Żłobek nr 57,MAZOWIECKIE,Warszawa,Warszawa - Białołęka,Warszawa - Białołęka,ul. Książkowa,2,,zlobek57@zlobki.waw.pl,789217303,148,150,www.zlobki.waw.pl
750,6183/Z,Żłobek nr 49,MAZOWIECKIE,Warszawa,Warszawa - Ursynów,Warszawa - Ursynów,ul. 6 Sierpnia,1/5,,zlobek49@zlobki.waw.pl,502267869,55,76,www.zlobki.waw.pl
751,12348/Z,ŻŁobek Miejski Skrzat ,ZACHODNIOPOMORSKIE,Koszalin,Koszalin,Koszalin,ul. Joachima Lelewela,12,,skrzat@zlobekmiejski.pl,943436767,110,115,www.zlobekmiejski.pl
752,12370/Z,"Żłobek ""Kraina Marzeń""",MAŁOPOLSKIE,Nowy Sącz,Nowy Sącz,Nowy Sącz,ul. Radziecka,18,,marcin.krolikiewicz@krainamarzen.eu,694424336,13,24,www.krainamarzen.eu
753,12409/Z,Niepubliczny Żłobek FUN & PLAY,ŁÓDZKIE,zduńskowolski,Zduńska Wola,Zduńska Wola,ul. Stanisława Moniuszki,"1 B,C,D",,funandplaysieradz@gmail.com,515564715,0,15,
754,9330/Z,Nasz Lajkonik,DOLNOŚLĄSKIE,Wrocław,Wrocław-Fabryczna,Wrocław-Fabryczna,ul. Trawowa,32a,1,naszlajkonik@gmail.com,607600000,15,15,www.naszlajkonik.pl
755,9593/Z,"Żłobek Artystyczno-Przyrodniczy ""Kolorowe Motylki""",WIELKOPOLSKIE,poznański,Swarzędz,Swarzędz,ul. Piotra Skargi,17,,kontakt@kolorowemotylki.pl,50411224,14,68,www.kolorowemotylki.pl
756,9612/Z,Oddział Żłobkowy Przy Przedszkolu Niepublicznym „Wyspa Skarbów” ,MAZOWIECKIE,Warszawa,Warszawa - Białołęka,Warszawa - Białołęka,ul. Skarbka z Gór,142B,,dyrektor@przedszkolewarszawa.pl,223929176,46,46,http://przedszkolewarszawa.pl/
757,10767/Z,Domowy Żłobek,ŚLĄSKIE,Tychy,Tychy,Tychy,ul. Biblioteczna,12,,biuro@domowy-zlobek.pl,794150828,11,16,https://www.facebook.com/domowyzlobek
758,7592/Z,Niepubliczny ŻŁOBEK SKRZATEK Aleksandra Bladowska,POMORSKIE,kartuski,Sierakowice,Sierakowice,ul. Dworcowa,23,,kontakt@zlobekskrzatek.pl,600078894,30,30,www.zlobekskrzatek.pl
759,5863/Z,Emilia Szefler Firma Usługowa ,KUJAWSKO-POMORSKIE,golubsko-dobrzyński,Golub-Dobrzyń,Golub-Dobrzyń,ul. Słuchajska,6,,emiliajeziorska1@wp.pl,607546523,29,30,http://www.kubus-puchatek.w8w.pl/index.html
760,9203/Z,"""Klub Malucha Tuptusie""",MAŁOPOLSKIE,krakowski,Krzeszowice,Krzeszowice,ul. Żwirki i Wigury,16,,tuptusie2009@o2.pl,662317173,15,15,www.tuptusie.com.pl
761,12438/Z,Scandikids,MAZOWIECKIE,otwocki,Wiązowna,Zakręt,ul. Polna,26,,info@scandi-kids.com,517177848,20,20,www.scandi-kids.com
762,12443/Z,Centrum Dziecięce Jasia i Małgosi Magdalena Dziuda,ŁÓDZKIE,Łódź,Łódź-Widzew,Łódź-Widzew,ul. Władysława Szafera,10,,centrumjasimalgosia@wp.pl,662162286,21,40,www.zlobekjasimalgosia.pl
763,12441/Z,"Żłobek ""Słodkie Borówki""",DOLNOŚLĄSKIE,strzeliński,Borów,Borów,ul. Wrocławska,24,,malgorzata@fep.edu.pl,669346333,17,25,
764,12446/Z,AKADEMIA ROZWOJU MARIOLA KOZŁOWSKA ,ŚLĄSKIE,Zabrze,Zabrze,Zabrze,ul. Wolności,338B,,mariola.kozlowska@onet.pl,723494228,21,25,
765,12447/Z,Prywatny Żłobek Pluszakowo w Namysłowie,OPOLSKIE,namysłowski,Namysłów,Namysłów,pl. Plac Wolności,1A,,namyslow@pluszakowo.edu.pl,574718888,38,50,www.pluszakowo.edu.pl
766,10768/Z,Żłobek SMYK,POMORSKIE,malborski,Malbork,Malbork,ul. Jana Kochanowskiego,40,,kontakt@smyk.club,797110599,24,25,www.smyk.club
767,2285/Z,Prywatny Żłobek Zielony Motylek,PODKARPACKIE,Rzeszów,Rzeszów,Rzeszów,ul. Mazowiecka,56,,juliaszargut@zielonymotylek.pl,698540532,18,18,WWW.ZIELONYMOTYLEK.PL
768,10902/Z,Tęczowa Kraina ,ŚLĄSKIE,Świętochłowice,Świętochłowice,Świętochłowice,ul. Łagiewnicka,24,,swietochlowice@btk-integracja.pl,791933449,0,93, 
769,2281/Z,AKADEMIA SMERFA PRYWATNY ŻŁOBEK MARIA JEDRASZAK-OWCZARZAK,WIELKOPOLSKIE,wrzesiński,Września,Września,ul. Gnieźnieńska,23B,,akademiasmerfa@gmail.com,693201374,28,30,www.akademia.smerfa.pl
770,6298/Z,Tęczowy Kącik,MAZOWIECKIE,Warszawa,Warszawa - Targówek,Warszawa - Targówek,ul. Lewinowska,30,,michal_baczyk@interia.pl,602777918,18,15,http://www.teczowykacik.pl
771,11309/Z,"Klub Dziecięcy  Żłobek Klub Dudusia"" filia Żłobka"" Klub Dudusia""",MAZOWIECKIE,Warszawa,Warszawa - Wesoła,Warszawa - Wesoła,ul. Sportowa,19A,,biuro@klubdudusia.pl,602811802,8,10,www.klubdudusia.pl
772,2350/Z,Żłobek Prywatny Chatka Kajtka,WIELKOPOLSKIE,Poznań,Poznań-Grunwald,Poznań-Grunwald,ul. Stęszewska,6,,zlobek.chatkakajtka@int.pl,+48509444960,50,50,chatkakajtka.pl
773,12459/Z,Żłobek Gminny w Oleśnicy,DOLNOŚLĄSKIE,oleśnicki,Oleśnica,Oleśnica,ul. Wileńska,32a,,zlobek@olesnica.wroc.pl,713983131,94,96,www.zlobek.gminny.olesnica.dlaprzedszkoli.eu
774,4362/Z,Mini Żłobek - filia żłobka nr 21,MAZOWIECKIE,Warszawa,Warszawa - Mokotów,Warszawa - Mokotów,ul. Łowicka,7/15,,zlobek21@zlobki.waw.pl,502267871,32,59,www.zlobki.waw.pl
775,12410/Z,Kucykowa Kraina,LUBELSKIE,lubelski,Głusk,Kalinówka,,1a,,biuro@kucykowakraina.pl,509646361,20,24,kucykowakraina.pl
776,12412/Z,Klub Dziecięcy w Żarkach,ŚLĄSKIE,myszkowski,Żarki,Żarki,ul. Ofiar Katynia,3,,klubdzieciecyzarki@wp.pl,508347027,24,24,
777,12420/Z,Dwujęzyczny Żłobek KIDS&Co.,DOLNOŚLĄSKIE,Wrocław,Wrocław-Fabryczna,Wrocław-Fabryczna,ul. Szybowcowa,2,,ewa.dec-pomykala@kids-co.pl,537888310,25,50,www.kids-co.pl
778,12469/Z,Żłobek Bajkowy Domek oddział II,WIELKOPOLSKIE,Poznań,Poznań-Grunwald,Poznań-Grunwald,ul. Listopadowa,28,,bajdom@onet.pl,501878868,20,20,www.baj-dom.pl
779,13147/Z,"Niepubliczny Żłobek ""Mini Przedszkolada""",MAZOWIECKIE,Warszawa,Warszawa - Białołęka,Warszawa - Białołęka,ul. Złotokwiatu,28,,przedszkolada@przedszkolada.pl,602710200,16,15,
780,10897/Z,Zespół Żłobek i Klub Dziecięcy w Górze,DOLNOŚLĄSKIE,górowski,Góra,Góra,ul. Piastów,34,,zespolzikdz.gora@gmail.com,655174500,6,30,https://zespolzikdz.edupage.org/
781,9395/Z,"Gminny Żłobek w Lelowie ""Wesoły Maluch""",ŚLĄSKIE,częstochowski,Lelów,Lelów,ul. Szczekocińska,22,,zlobek@lelow.pl,343157059,14,14,
782,7620/Z,"Prywatny Żłobek ""EUREGIO"" w Kostrzynie nad Odrą",LUBUSKIE,gorzowski,Kostrzyn nad Odrą,Kostrzyn nad Odrą,ul. Graniczna,6,,euregio.kostrzyn@gmail.com,536100662,26,40,https://www.facebook.com/PZ.EUREGIO.Kostrzyn
783,11746/Z,Żłobek Gminny w Bratkowicach,PODKARPACKIE,rzeszowski,Świlcza,Bratkowice,,407A,,zlobek.bratkowice@swilcza.com.pl,178551434,24,24,www:przedszkolebratkowice.edupage.org
784,2101/Z,"Żłobek ""Smoczuś""",LUBUSKIE,Zielona Góra,Zielona Góra,Zielona Góra,ul. Chmielna,1,,biuro@smoczus.zgora.pl,695869753,30,30,www.smoczus.zgora.pl
785,8476/Z,Niepubliczny Żłobek Klasa Bobasa,PODKARPACKIE,rzeszowski,Tyczyn,Tyczyn,ul. Kazimierza Wielkiego,33,,zlobek.tyczyn@gmail.com,575976900,24,30,www.zlobek-tyczyn.pl
786,8585/Z,"Niepubliczny Żłobek ""Pszczółka Maja""",WIELKOPOLSKIE,złotowski,Okonek,Okonek,ul. Wodna,27,,mikietynska@gmail.com,604796304,30,30,
787,4371/Z,Żłobek nr 29,MAZOWIECKIE,Warszawa,Warszawa - Włochy,Warszawa - Włochy,ul. Nike,6,,zlobek29@zlobki.waw.pl,723248042,133,135,www.zlobki.waw.pl
788,8817/Z,Żłobek Tuliś,MAZOWIECKIE,żyrardowski,Żyrardów,Żyrardów,ul. Adama Mickiewicza,8,,zlobek.tulis@gmail.com,698700988,11,11,
789,8855/Z,Klub Maluszka pod Słoneczkiem,WIELKOPOLSKIE,poznański,Kostrzyn,Siekierki Wielkie,ul. Klonowa,10,,vencedor8@wp.pl,731418469,14,14,
790,8965/Z,Niepubliczny Żłobek nr 11,MAŁOPOLSKIE,Kraków,Kraków-Podgórze,Kraków-Podgórze,ul. Franciszka Bujaka,10,,luberda@wp.pl,600466847,36,36,www.beztroskie-dziecinstwo.pl
791,6735/Z,"Żłobek ""Maleństwo i Przyjaciele""",MAZOWIECKIE,Warszawa,Warszawa - Praga-Południe,Warszawa - Praga-Południe,ul. Korytnicka,28,1,sekretariatpraga@malenstwo24.pl,533844840,45,45,malenstwo@malenstwo24.pl
792,9050/Z,"Żłobek ""Pluszowy Miś""",MAZOWIECKIE,piaseczyński,Lesznowola,Stara Iwiczna,ul. Słoneczna,105,,sekretariat@przedszkole-pluszowymis.pl,519100801,6,8,http://www.przedszkole-pluszowymis.pl/
793,9855/Z,"Żłobek Gminny ""Bajkowa Kraina"" w Nowej Wsi",ŚLĄSKIE,będziński,Mierzęcice,Nowa Wieś,ul. Aleksandra Zawadzkiego,161,,poczta@zsp.mierzecice.pl,322887020,20,20,
794,7147/Z,"Samorządowy Integracyjny Żłobek ""Magiczny Świat Maluchów"" ",DOLNOŚLĄSKIE,karkonoski,Szklarska Poręba,Szklarska Poręba,ul. Osiedle Huty,1,,sekretariat@zlobek-szklarskaporeba.pl,757677460,45,45,http://www.zlobek-szklarskaporeba.pl
795,10135/Z,"Żłobek ""Bożego Miłosierdzia""",ŚLĄSKIE,Zabrze,Zabrze,Zabrze,ul. Pawła Majnusza,7,,biuro@dom-rodzina.pl,575241606,19,120,www.dom-rodzina.pl
796,10178/Z,Żłobek Gminny w Kłobucku,ŚLĄSKIE,kłobucki,Kłobuck,Kłobuck,ul. Krzysztofa Kamila Baczyńskiego,2,,zlobek@gminaklobuck.pl,343131155,12,12,
797,10180/Z,ŻŁOBEK,ŚLĄSKIE,Tychy,Tychy,Tychy,ul. Armii Krajowej,101,D,zlobektychy@op.pl,732570757,25,25,
798,8490/Z,"Niepubliczny Żłobek ""Motylek""",ŚLĄSKIE,Jastrzębie-Zdrój,Jastrzębie-Zdrój,Jastrzębie-Zdrój,ul. Północna,30,,klubmotylek@o2.pl,694221348,29,28,www.klubmotylek.pl
799,8849/Z,"""Żłobek Pierwsze Kroczki""",WIELKOPOLSKIE,Leszno,Leszno,Leszno,ul. 17 Stycznia,90,,pierwszekroczki.zlobek@gmail.com,"698777858,888141747,727693777",55,89,https://pierwszekroczki.com/
800,8864/Z,Gminny Żłobek w Lisiej Górze,MAŁOPOLSKIE,tarnowski,Lisia Góra,Lisia Góra,ul. Stefana Jaracza,1,,zlobeklg@lisiagora.pl,146571580,50,50,zlobeklisiagora.dlaprzedszkoli.eu
801,8865/Z,Klub Malucha „POZYTYWKA”,ŁÓDZKIE,Łódź,Łódź-Widzew,Łódź-Widzew,ul. Teodora Viewegera,30,,lenataran.art@onet.pl,532835927,15,13,http://www.klubmalucha.eu/
802,8867/Z,Żłobek Samorządowy nr 1 w Choroszczy,PODLASKIE,białostocki,Choroszcz,Choroszcz,ul. Powstania Styczniowego,1,,zlobek@choroszcz.pl,609810400,20,20,
803,8868/Z,Niepubliczny Klub Dziecięcy „Zielony Słonik”,MAZOWIECKIE,Warszawa,Warszawa - Włochy,Warszawa - Włochy,ul. Bolesława Chrobrego,18,,kontakt@zielonyslonik.pl,608337000,0,13,kontakt@zielonyslonik.pl
804,8889/Z,"Żłobek Niepubliczny ""Koliberek"" Barbara Guzek",ŁÓDZKIE,łowicki,Łowicz,Łowicz,ul. Braterska,1,,biuro@przedszkole-koliberek.pl,600294206,30,32,www.przedszkole-koliberek.pl
805,8921/Z,Żłobek Miejski w Wieruszowie,ŁÓDZKIE,wieruszowski,Wieruszów,Wieruszów,ul. Bursztynowa,1,,zlobek@wieruszow.pl,+48626262041,54,60,www.zlobek.wieruszow.pl
806,9423/Z,Kraina Marzeń,MAŁOPOLSKIE,Nowy Sącz,Nowy Sącz,Nowy Sącz,ul. Rokitniańczyków,32,,marcin.krolikiewicz@krainamarzen.eu,694424336,14,48,www.krainamarzen.eu
